iter	MultiClass
0	0.9747269519
1	0.8945176088
2	0.8386069655
3	0.8003602909
4	0.7726179497
5	0.7496882262
6	0.7330363598
7	0.7198874503
8	0.7091066207
9	0.7009026563
10	0.6946078438
11	0.6879147525
12	0.6831818323
13	0.677852702
14	0.6744968807
15	0.6700471689
16	0.6677971748
17	0.6650123054
18	0.6617843059
19	0.6590200896
20	0.6572189669
21	0.6549371502
22	0.6531695369
23	0.6519221186
24	0.6498482637
25	0.6485733912
26	0.6469836486
27	0.6458348123
28	0.6444020816
29	0.642221988
30	0.6412605987
31	0.6399480735
32	0.6377783012
33	0.6364514713
34	0.6334658568
35	0.6326133228
36	0.6316580497
37	0.630610433
38	0.629147636
39	0.628262145
40	0.6266473775
41	0.6258149709
42	0.6240963053
43	0.6231302103
44	0.6225236278
45	0.6213805259
46	0.619998177
47	0.6188581421
48	0.6181261122
49	0.6171826843
50	0.6164527153
51	0.6149657531
52	0.6142638945
53	0.6136057881
54	0.6125730125
55	0.6114080026
56	0.6103358672
57	0.6091845542
58	0.6079552835
59	0.6073085084
60	0.6056203186
61	0.6045216889
62	0.6040469337
63	0.6010929972
64	0.5995091182
65	0.5973335474
66	0.59645598
67	0.5949167794
68	0.5941008032
69	0.594096237
70	0.5925504649
71	0.5896968918
72	0.5896931689
73	0.5876441287
74	0.5876393685
75	0.5876353979
76	0.5864861597
77	0.5864817216
78	0.5850719788
79	0.5835159146
80	0.5826282977
81	0.5816441018
82	0.5805522434
83	0.579233712
84	0.5792302183
85	0.5792254842
86	0.579217551
87	0.5792141255
88	0.5792103244
89	0.5777047371
90	0.577701222
91	0.5766117555
92	0.5756795416
93	0.5743303094
94	0.5743251693
95	0.5743210213
96	0.5743162686
97	0.5721117018
98	0.570611606
99	0.5697044468
100	0.5697004951
101	0.56969568
102	0.5688127226
103	0.5688087247
104	0.5678467424
105	0.5663601925
106	0.5663562686
107	0.5653707909
108	0.5643297101
109	0.5637209341
110	0.563716851
111	0.5637131813
112	0.5619906799
113	0.5619863967
114	0.5611153217
115	0.5611115817
116	0.5600108531
117	0.5600070392
118	0.5588098903
119	0.5588058351
120	0.5588022412
121	0.558797644
122	0.5587941407
123	0.5587898467
124	0.5578512018
125	0.5578473276
126	0.5572035923
127	0.5571998921
128	0.5571962011
129	0.5561841893
130	0.5552190755
131	0.5552149635
132	0.5537949214
133	0.5537910975
134	0.5537873278
135	0.5537824934
136	0.5534844492
137	0.5534803327
138	0.5534754812
139	0.5528559658
140	0.5512368518
141	0.5512333539
142	0.5504845379
143	0.5502501176
144	0.5498998405
145	0.5498952112
146	0.5498912725
147	0.5498879634
148	0.5498843157
149	0.5490651212
150	0.5481515874
151	0.548147465
152	0.5481442269
153	0.546808013
154	0.5468044868
155	0.5468010568
156	0.5465690602
157	0.5450789728
158	0.5443828732
159	0.5434142472
160	0.5412742045
161	0.5412702088
162	0.5412666701
163	0.5412594317
164	0.5395603122
165	0.5395559012
166	0.5395525735
167	0.5395499084
168	0.5388554844
169	0.538851568
170	0.5380274394
171	0.5380202752
172	0.5380163323
173	0.538013553
174	0.5378507207
175	0.5374140542
176	0.5374099773
177	0.5368825443
178	0.5368787275
179	0.535692176
180	0.5343103088
181	0.5335627406
182	0.5335594391
183	0.5327327149
184	0.5327290284
185	0.5327253913
186	0.532721199
187	0.5327175483
188	0.532713862
189	0.5315235886
190	0.5315198751
191	0.530632446
192	0.5294088717
193	0.5294054326
194	0.5288111422
195	0.5288074976
196	0.5276200732
197	0.526837999
198	0.526833961
199	0.5261102859
200	0.5261071039
201	0.5249225574
202	0.5237110577
203	0.5233698659
204	0.5233671858
205	0.523364575
206	0.522621969
207	0.5226185457
208	0.5216477259
209	0.5216440222
210	0.5209019724
211	0.520898291
212	0.5202371878
