iter	Passed	Remaining
0	135	135741
1	295	147580
2	423	140623
3	551	137225
4	664	132328
5	779	129175
6	897	127386
7	1022	126793
8	1140	125546
9	1268	125552
10	1377	123889
11	1514	124720
12	1640	124539
13	1763	124200
14	1890	124148
15	2006	123408
16	2134	123407
17	2256	123130
18	2409	124388
19	2544	124687
20	2686	125248
21	2807	124809
22	2915	123842
23	3033	123347
24	3175	123840
25	3295	123445
26	3412	122977
27	3528	122504
28	3647	122123
29	3755	121415
30	3875	121128
31	4001	121054
32	4127	120939
33	4254	120870
34	4367	120422
35	4478	119936
36	4592	119530
37	4725	119633
38	4839	119240
39	4947	118742
40	5067	118536
41	5178	118121
42	5289	117720
43	5399	117308
44	5500	116740
45	5649	117173
46	5767	116948
47	5897	116964
48	6015	116743
49	6126	116399
50	6254	116385
51	6374	116211
52	6531	116709
53	6668	116816
54	6814	117092
55	6923	116702
56	7054	116712
57	7181	116637
58	7292	116302
59	7401	115951
60	7526	115864
61	7628	115410
62	7756	115362
63	7860	114957
64	7970	114647
65	8079	114337
66	8206	114280
67	8312	113932
68	8422	113646
69	8538	113444
70	8657	113280
71	8765	112981
72	8880	112774
73	9034	113057
74	9189	113339
75	9350	113679
76	9531	114257
77	9734	115069
78	9927	115734
79	10102	116176
80	10297	116833
81	10466	117173
82	10662	117796
83	10846	118282
84	11054	119003
85	11294	120038
86	11569	121409
87	11825	122556
88	12066	123509
89	12303	124404
90	12483	124695
91	12718	125523
92	12971	126504
93	13194	127170
94	13393	127590
95	13609	128155
96	13847	128914
97	14108	129856
98	14366	130747
99	14590	131317
100	14888	132521
101	15183	133670
102	15436	134433
103	15759	135778
104	16062	136914
105	16365	138023
106	16661	139052
107	16905	139626
108	17149	140182
109	17400	140788
110	17664	141478
111	17963	142422
112	18239	143174
113	18484	143656
114	18745	144255
115	19020	144949
116	19306	145707
117	19590	146430
118	19874	147141
119	20111	147482
120	20353	147855
121	20630	148470
122	20883	148900
123	21141	149353
124	21385	149698
125	21636	150085
126	21920	150684
127	22182	151116
128	22440	151516
129	22759	152313
130	23018	152692
131	23270	153024
132	23515	153292
133	23741	153434
134	23985	153686
135	24197	153725
136	24412	153777
137	24632	153861
138	24850	153927
139	25055	153910
140	25281	154017
141	25485	153991
142	25708	154073
143	25929	154133
144	26124	154043
145	26323	153976
146	26550	154064
147	26785	154199
148	26999	154204
149	27223	154268
150	27473	154468
151	27600	153982
152	27730	153515
153	27901	153278
154	28060	152972
155	28215	152653
156	28398	152482
157	28571	152259
158	28742	152025
159	28928	151872
160	29107	151685
161	29288	151502
162	29447	151211
163	29640	151092
164	29822	150919
165	29997	150710
166	30193	150606
167	30376	150437
168	30567	150303
169	30729	150030
170	30904	149823
171	31087	149655
172	31284	149551
173	31492	149496
174	31680	149351
175	31871	149216
176	32093	149226
177	32265	148999
178	32443	148805
179	32628	148642
180	32841	148605
181	33051	148551
182	33252	148456
183	33446	148327
184	33615	148088
185	33798	147915
186	33988	147770
187	34159	147540
188	34369	147481
189	34599	147501
190	34800	147399
191	34981	147213
192	35165	147037
193	35343	146840
194	35531	146680
195	35724	146542
196	35932	146464
197	36117	146293
198	36386	146460
199	36621	146485
200	36849	146481
201	37118	146635
202	37372	146730
203	37603	146725
204	37794	146567
205	38042	146629
206	38286	146671
207	38568	146858
208	38878	147141
209	39210	147505
210	39488	147659
211	39740	147714
212	40002	147803
213	40260	147871
214	40516	147930
215	40768	147973
216	41027	148039
217	41236	147920
218	41414	147694
219	41654	147683
220	41861	147557
221	42084	147484
222	42275	147299
223	42483	147174
224	42744	147232
225	42982	147205
226	43183	147053
227	43386	146904
228	43660	146995
229	43886	146923
230	44116	146865
231	44343	146793
232	44591	146787
233	44839	146783
234	45070	146719
235	45276	146571
236	45474	146399
237	45718	146374
238	45961	146346
239	46183	146248
240	46406	146151
241	46624	146037
242	46806	145812
243	47023	145695
244	47270	145671
245	47521	145656
246	47763	145610
247	48039	145669
248	48255	145541
249	48557	145672
250	48772	145540
251	48976	145374
252	49208	145292
253	49435	145193
254	49680	145143
255	49893	145003
256	50112	144878
257	50320	144720
258	50542	144601
259	50745	144429
260	50965	144305
261	51167	144127
262	51378	143977
263	51605	143869
264	51814	143712
265	52056	143643
266	52280	143527
267	52503	143404
268	52718	143261
269	52922	143086
270	53137	142942
271	53369	142842
272	53631	142821
273	53858	142705
274	54095	142614
275	54333	142525
276	54559	142405
277	54813	142356
278	55057	142280
279	55303	142209
280	55526	142076
281	55751	141947
282	55969	141803
283	56201	141689
284	56433	141577
285	56668	141471
286	56936	141448
287	57176	141352
288	57380	141167
289	57577	140965
290	57847	140940
291	58110	140898
292	58378	140866
293	58648	140837
294	58854	140651
295	59059	140464
296	59280	140316
297	59520	140211
298	59763	140113
299	59953	139891
300	60177	139747
301	60384	139563
302	60608	139419
303	60849	139312
304	61090	139206
305	61334	139104
306	61572	138988
307	61770	138782
308	61997	138640
309	62233	138520
310	62449	138353
311	62657	138168
312	62900	138058
313	63123	137905
314	63358	137779
315	63578	137620
316	63750	137355
317	63968	137189
318	64203	137060
319	64433	136921
320	64637	136726
321	64819	136483
322	65065	136376
323	65294	136232
324	65500	136039
325	65708	135851
